Unidades da Federação;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFORMA;CICLOMOTOR;MICROÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;REGIÃO;MÊS;ANO
Maranhão ;1.541.845;398.265;  -   ;38.994;4.14;106.306;21.868;78;10.216;4.652;781.186;142.653;8.472;  -   ;9.538;6.477;38.0;52.0;  -   ;65.0;376.0;8.469;nordeste;dezembro;2016
Paraíba ;1.184.259;483.927;  -   ;28.459;2.632;74.963;25.501;18;25.838;4.528;448.904;62.306;7.061;1;6.736;4.405;28.0;53.0;  -   ;44.0;373.0;8.482;nordeste;dezembro;2016
Pernambuco ;2.816.115;1.237.421;  -   ;91.615;11.446;170.087;85.657;89;36.214;18.197;975.136;99.703;19.106;1;33.495;18.898;142.0;104.0;  -   ;314.0;1.312;17.178;nordeste;dezembro;2016
Piauí;1.085.009;322.487;  -   ;27.41;2.373;78.460;16.017;33;6.456;3.369;514.885;91.123;6.468;  -   ;5.049;3.672;201.0;48.0;  -   ;75.0;1.047;5.836;nordeste;dezembro;2016
Rio Grande do Norte ;1.183.363;510.192;  -   ;31.602;3.082;79.033;26.809;19;23.99;4.921;407.333;56.633;6.585;1;12.21;6.464;57.0;46.0;  -   ;131.0;509.0;13.746;nordeste;dezembro;2016
Sergipe;709.682;307.389;  -   ;20.833;2.368;39.148;14.208;21;20.557;3.385;231.233;39.819;6.623;  -   ;16.356;3.187;42.0;68.0;1;132.0;393.0;3.919;nordeste;dezembro;2016
Espírito Santo;1.811.993;900.623;  -   ;70.884;17.086;153.515;53.722;14;1.44;7.873;421.358;99.461;14.581;2;26.971;24.379;132.0;229.0;17;2.147;1.49;16.069;sudeste;dezembro;2016
Minas Gerais ;10.277.988;5.652.316;  -   ;323.729;64.745;824.024;291.204;24;45.467;44.514;2.379.738;268.287;73.318;9;163.779;79.071;1.417;1.271;47;2.078;4.883;58.067;sudeste;dezembro;2016
Rio de Janeiro;6.377.484;4.304.384;  -   ;143.509;16.223;324.952;282.937;61;37.732;38.55;889.919;157.05;47.077;9;56.908;20.528;204.0;486.0;1;685.0;2.054;54.215;sudeste;dezembro;2016
São Paulo ;27.332.101;17.247.124;25;669.056;162.501;1.825.129;1.105.626;628;53.318;118.291;4.378.772;828.036;155.317;58;307.126;236.654;1.914;2.093;58;10.695;4.476;225.204;sudeste;dezembro;2016
Paraná;7.140.439;4.203.635;3;264.684;86.261;609.331;220.001;80;7.889;21.858;1.101.224;278.234;41.202;23;122.636;129.003;596.0;954.0;13;1.891;1.873;49.048;sul;dezembro;2016
Rio Grande do Sul ;6.650.259;4.071.134;3;222.94;55.493;483.609;234.926;154;5.299;20.361;1.039.618;181.09;40.032;39;162.418;71.232;425.0;4.24;38;7.675;1.008;48.525;sul;dezembro;2016
Santa Catarina;4.772.160;2.733.827;  -   ;148.303;48.66;353.967;156.774;43;1.721;11.688;833.005;259.824;18.922;13;86.243;66.446;683.0;2.023;13;3.021;666.0;46.318;sul;dezembro;2016
Distrito Federal;1.699.682;1.214.589;  -   ;23.502;3.175;116.691;77.623;20;1.198;5.501;176.768;17.748;12.196;1;21.35;3.995;711.0;178.0;7;596.0;543.0;23.29;centro-oeste;dezembro;2016
Goiás;3.657.750;1.729.629;  -   ;108.585;28.452;328.183;89.213;60;25.642;9.232;832.876;259.973;22.037;  -   ;155.15;45.745;140.0;241.0;3;243.0;937.0;21.409;centro-oeste;dezembro;2016
Mato Grosso;1.881.794;651.065;  -   ;67.896;29.552;196.586;37.337;3;7.384;3.41;577.776;202.532;11.149;2;30.732;52.374;136.0;123.0;2;98.0;877.0;12.76;centro-oeste;dezembro;2016
Mato Grosso do Sul;1.459.464;677.021;10;49.759;15.385;145.541;36.233;35;3.32;3.613;349.551;103.349;9.057;1;29.25;25.709;173.0;172.0;4;213.0;484.0;10.584;centro-oeste;dezembro;2016
Acre ;252.405;80.592;  -   ;6.971;811.0;24.196;4.057;10;504.0;351.0;106.149;22.279;1.048;  -   ;2.767;1.279;60.0;22.0;  -   ;2.0;166.0;1.141;norte;janeiro;2017
Amapá ;180.128;74.399;  -   ;4.025;305.0;19.860;4.237;14;936.0;463.0;59.774;11.581;1.187;  -   ;1.123;980.0;50.0;15.0;  -   ;7.0;320.0;852.0;norte;janeiro;2017
Amazonas;821.241;367.218;  -   ;19.862;2.998;81.965;26.974;37;1.92;3.489;233.966;52.249;8.766;  -   ;2.749;12.549;7.0;80.0;  -   ;74.0;1.484;4.854;norte;janeiro;2017
Pará ;1.834.022;549.731;  -   ;58.733;7.488;131.774;36.908;94;5.444;6.582;795.930;174.511;17.502;1;21.143;14.043;163.0;146.0;  -   ;119.0;1.428;12.282;norte;janeiro;2017
Rondônia ;907.335;256.057;  -   ;30.018;6.14;83.344;11.432;8;2.305;1.205;370.865;112.744;5.709;  -   ;12.774;11.196;40.0;40.0;1;43.0;311.0;3.103;norte;janeiro;2017
Roraima;201.765;66.967;  -   ;4.659;651.0;23.677;4.646;  -   ;966.0;647.0;75.740;19.26;1.022;  -   ;1.159;1.15;4.0;14.0;  -   ;2.0;67.0;1.134;norte;janeiro;2017
Tocantins;639.169;194.602;  -   ;22.227;4.624;59.387;9.971;2;1.869;1.606;218.895;89.329;5.224;  -   ;21.536;6.578;112.0;39.0;  -   ;32.0;119.0;3.017;norte;janeiro;2017
Alagoas;756.915;326.399;  -   ;20.575;2.282;49.658;19.487;27;549.0;6.209;260.044;36.835;7.167;1;15.296;6.889;49.0;46.0;  -   ;17.0;223.0;5.162;nordeste;janeiro;2017
Bahia;3.813.317;1.689.887;3;115.225;19.964;322.175;104.835;190;6.473;27.416;1.210.115;175.442;38.24;1;42.908;32.123;667.0;201.0;3;247.0;2.119;25.083;nordeste;janeiro;2017
Ceará;2.917.293;1.059.313;  -   ;70.497;7.922;178.223;56.551;115;4.852;11.546;1.285.990;151.296;16.618;  -   ;32.844;11.526;333.0;126.0;  -   ;248.0;1.401;27.892;nordeste;janeiro;2017
Maranhão ;1.548.728;399.617;  -   ;39.025;4.149;106.784;21.961;78;10.238;4.657;785.069;143.502;8.491;  -   ;9.601;6.492;38.0;52.0;  -   ;63.0;377.0;8.534;nordeste;janeiro;2017
Paraíba ;1.188.598;485.511;  -   ;28.52;2.636;75.267;25.625;18;26.046;4.532;450.597;62.501;7.078;1;6.778;4.417;28.0;53.0;  -   ;44.0;373.0;8.573;nordeste;janeiro;2017
Pernambuco ;2.822.850;1.240.412;  -   ;91.696;11.462;170.487;85.898;89;36.42;18.213;977.169;99.945;19.115;1;33.798;18.944;142.0;105.0;  -   ;315.0;1.313;17.326;nordeste;janeiro;2017
Piauí;1.089.051;323.867;  -   ;27.478;2.376;78.739;16.077;33;6.472;3.394;516.671;91.414;6.498;  -   ;5.101;3.666;201.0;48.0;  -   ;75.0;1.048;5.893;nordeste;janeiro;2017
Rio Grande do Norte ;1.187.519;511.827;  -   ;31.65;3.096;79.246;26.913;19;24.312;4.931;408.690;56.861;6.586;1;12.297;6.521;57.0;46.0;  -   ;131.0;512.0;13.823;nordeste;janeiro;2017
Sergipe;712.138;308.177;  -   ;20.831;2.372;39.278;14.268;21;20.813;3.39;232.118;39.965;6.65;  -   ;16.478;3.197;42.0;68.0;1;132.0;395.0;3.942;nordeste;janeiro;2017
Espírito Santo;1.815.861;902.416;  -   ;70.943;17.081;153.965;53.891;14;1.447;7.881;422.203;99.695;14.578;2;27.143;24.408;132.0;231.0;17;2.147;1.5;16.167;sudeste;janeiro;2017
Minas Gerais ;10.299.681;5.661.495;  -   ;324.026;64.901;827.101;291.578;24;45.855;44.629;2.385.070;269.194;73.43;9;164.754;79.297;1.417;1.272;47;2.088;4.909;58.585;sudeste;janeiro;2017
Rio de Janeiro;6.390.294;4.311.748;  -   ;143.574;16.232;325.722;283.670;61;38.109;38.535;892.323;157.463;47.032;9;57.349;20.563;204.0;486.0;1;685.0;2.059;54.469;sudeste;janeiro;2017
São Paulo ;27.390.017;17.280.576;25;669.39;162.76;1.830.283;1.109.440;628;53.451;118.379;4.387.481;830.77;155.263;58;308.503;236.993;1.914;2.097;58;10.703;4.52;226.725;sudeste;janeiro;2017
Paraná;7.154.512;4.211.009;3;264.81;86.307;611.116;220.806;80;7.907;21.861;1.103.166;278.86;41.304;23;123.232;129.272;596.0;960.0;13;1.897;1.878;49.412;sul;janeiro;2017
Rio Grande do Sul ;6.664.332;4.078.905;3;223.142;55.591;485.368;235.787;154;5.336;20.397;1.041.242;181.439;40.025;39;163.291;71.282;425.0;4.249;38;7.685;1.009;48.925;sul;janeiro;2017
Santa Catarina;4.783.134;2.739.495;  -   ;148.381;48.649;355.214;157.548;43;1.725;11.714;834.520;260.384;18.929;13;86.926;66.452;683.0;2.035;13;3.021;668.0;46.721;sul;janeiro;2017
Distrito Federal;1.704.346;1.217.560;  -   ;23.535;3.181;117.082;78.082;20;1.2;5.52;177.197;17.825;12.186;1;21.451;4.0;711.0;179.0;7;596.0;548.0;23.465;centro-oeste;janeiro;2017
Goiás;3.666.254;1.733.399;  -   ;108.678;28.496;328.997;89.567;59;25.764;9.273;834.617;260.659;22.083;  -   ;155.749;45.807;140.0;242.0;3;243.0;942.0;21.536;centro-oeste;janeiro;2017
Mato Grosso;1.887.417;652.985;  -   ;68.004;29.643;197.244;37.497;3;7.396;3.414;579.309;203.249;11.166;2;30.915;52.476;136.0;123.0;2;98.0;878.0;12.877;centro-oeste;janeiro;2017
Mato Grosso do Sul;1.463.464;678.932;10;49.858;15.433;146.046;36.373;35;3.356;3.631;350.196;103.576;9.081;1;29.422;25.799;173.0;173.0;4;213.0;485.0;10.667;centro-oeste;janeiro;2017
Acre ;253.129;80.779;  -   ;6.98;809.0;24.286;4.062;10;508.0;350.0;106.473;22.37;1.049;  -   ;2.77;1.283;60.0;22.0;  -   ;2.0;167.0;1.149;norte;fevereiro;2017
Amapá ;180.405;74.539;  -   ;4.033;307.0;19.893;4.248;14;937.0;461.0;59.847;11.581;1.188;  -   ;1.127;980.0;50.0;15.0;  -   ;7.0;321.0;857.0;norte;fevereiro;2017
Amazonas;822.891;367.862;  -   ;19.877;2.998;82.046;26.961;37;1.932;3.49;234.694;52.386;8.77;  -   ;2.759;12.56;7.0;80.0;  -   ;74.0;1.484;4.874;norte;fevereiro;2017
Pará ;1.840.039;551.237;  -   ;58.874;7.513;132.213;36.995;94;5.469;6.594;798.847;175.112;17.533;1;21.284;14.076;163.0;145.0;  -   ;119.0;1.431;12.339;norte;fevereiro;2017
Rondônia ;909.829;256.921;  -   ;30.027;6.149;83.732;11.478;8;2.312;1.206;371.648;112.985;5.749;  -   ;12.829;11.219;40.0;41.0;1;43.0;311.0;3.13;norte;fevereiro;2017
Roraima;202.305;67.146;  -   ;4.664;655.0;23.806;4.661;  -   ;966.0;647.0;75.891;19.301;1.022;  -   ;1.17;1.154;4.0;14.0;  -   ;2.0;68.0;1.134;norte;fevereiro;2017
Tocantins;640.880;195.173;  -   ;22.213;4.61;59.533;10.006;2;1.875;1.606;219.418;89.586;5.226;  -   ;21.698;6.584;112.0;39.0;  -   ;32.0;119.0;3.048;norte;fevereiro;2017
Alagoas;759.869;327.545;  -   ;20.61;2.284;49.934;19.561;27;555.0;6.226;261.114;36.981;7.179;1;15.387;6.929;49.0;46.0;  -   ;17.0;223.0;5.201;nordeste;fevereiro;2017
Bahia;3.824.312;1.694.538;3;115.312;19.956;323.377;105.240;189;7.2;27.551;1.212.835;175.919;38.356;1;43.182;32.177;667.0;202.0;3;251.0;2.125;25.228;nordeste;fevereiro;2017
Ceará;2.925.990;1.062.334;  -   ;70.678;7.964;178.791;56.672;115;5.201;11.568;1.289.348;151.817;16.672;  -   ;33.017;11.615;333.0;126.0;  -   ;248.0;1.405;28.086;nordeste;fevereiro;2017
Maranhão ;1.554.382;400.669;  -   ;39.11;4.161;107.159;22.027;78;10.257;4.66;788.333;144.102;8.497;  -   ;9.695;6.516;38.0;52.0;  -   ;63.0;377.0;8.588;nordeste;fevereiro;2017
Paraíba ;1.192.590;486.876;  -   ;28.538;2.636;75.543;25.712;17;26.309;4.552;452.171;62.721;7.11;1;6.825;4.436;28.0;53.0;  -   ;44.0;374.0;8.644;nordeste;fevereiro;2017
Pernambuco ;2.824.944;1.241.168;  -   ;91.589;11.449;170.582;85.976;89;36.503;18.196;978.124;100.081;19.091;1;33.925;18.95;142.0;105.0;  -   ;316.0;1.314;17.343;nordeste;fevereiro;2017
Piauí;1.092.544;325.016;  -   ;27.537;2.382;79.034;16.121;33;6.48;3.419;518.161;91.698;6.531;  -   ;5.16;3.679;201.0;48.0;  -   ;75.0;1.05;5.919;nordeste;fevereiro;2017
Rio Grande do Norte ;1.191.312;513.296;  -   ;31.696;3.107;79.474;27.038;19;24.571;4.934;409.945;57.049;6.582;1;12.385;6.562;57.0;46.0;  -   ;131.0;512.0;13.907;nordeste;fevereiro;2017
Sergipe;714.782;309.048;  -   ;20.854;2.378;39.443;14.317;21;21.15;3.402;232.975;40.088;6.683;  -   ;16.604;3.202;42.0;68.0;1;132.0;397.0;3.977;nordeste;fevereiro;2017
Espírito Santo;1.819.093;903.829;  -   ;70.986;17.058;154.381;53.992;14;1.451;7.892;422.958;99.94;14.577;2;27.307;24.413;132.0;232.0;17;2.15;1.515;16.247;sudeste;fevereiro;2017
Minas Gerais ;10.322.957;5.672.437;  -   ;324.34;65.051;829.807;292.639;24;46.239;44.739;2.390.063;270.017;73.605;9;165.765;79.492;1.417;1.271;47;2.09;4.918;58.987;sudeste;fevereiro;2017
Rio de Janeiro;6.401.227;4.318.074;  -   ;143.587;16.244;326.398;284.180;60;38.428;38.51;894.463;157.919;46.824;9;57.855;20.57;204.0;486.0;1;685.0;2.073;54.657;sudeste;fevereiro;2017
São Paulo ;27.444.720;17.311.955;25;669.509;163.001;1.835.199;1.113.197;625;53.591;118.46;4.395.612;833.502;155.161;58;309.885;237.225;1.914;2.1;58;10.719;4.551;228.373;sudeste;fevereiro;2017
Paraná;7.166.951;4.217.548;3;264.99;86.466;612.653;221.420;80;7.915;21.83;1.104.958;279.454;41.331;23;123.745;129.458;596.0;961.0;13;1.9;1.883;49.724;sul;fevereiro;2017
Rio Grande do Sul ;6.676.677;4.085.814;3;223.359;55.641;486.709;236.666;153;5.363;20.433;1.042.633;181.768;40.055;39;164.001;71.369;425.0;4.259;38;7.691;1.015;49.243;sul;fevereiro;2017
Santa Catarina;4.793.586;2.744.862;  -   ;148.512;48.642;356.350;158.301;42;1.734;11.725;835.887;260.849;18.961;13;87.632;66.508;683.0;2.049;13;3.029;673.0;47.121;sul;fevereiro;2017
Distrito Federal;1.707.839;1.219.802;  -   ;23.543;3.187;117.378;78.340;20;1.202;5.533;177.629;17.865;12.182;1;21.518;4.011;711.0;180.0;7;595.0;551.0;23.584;centro-oeste;fevereiro;2017
Goiás;3.674.505;1.737.100;  -   ;108.753;28.498;329.826;89.918;59;25.86;9.316;836.291;261.334;22.146;  -   ;156.33;45.827;140.0;242.0;3;244.0;948.0;21.67;centro-oeste;fevereiro;2017
Mato Grosso;1.892.600;654.777;  -   ;68.111;29.676;197.868;37.660;3;7.407;3.425;580.715;203.908;11.18;2;31.087;52.561;136.0;123.0;2;99.0;879.0;12.981;centro-oeste;fevereiro;2017
Mato Grosso do Sul;1.467.300;680.814;10;49.947;15.502;146.532;36.502;35;3.395;3.638;350.767;103.805;9.111;1;29.585;25.869;173.0;175.0;4;212.0;484.0;10.739;centro-oeste;fevereiro;2017
Acre ;254.238;81.051;  -   ;6.99;810.0;24.387;4.067;10;514.0;351.0;106.986;22.518;1.07;  -   ;2.793;1.281;60.0;22.0;  -   ;2.0;167.0;1.159;norte;março;2017
Amapá ;181.040;74.730;  -   ;4.036;309.0;19.998;4.248;14;939.0;461.0;60.114;11.634;1.191;  -   ;1.131;981.0;50.0;15.0;  -   ;7.0;321.0;861.0;norte;março;2017
Amazonas;825.340;368.703;  -   ;19.875;3.004;82.293;27.004;37;1.934;3.498;235.732;52.586;8.805;  -   ;2.773;12.563;7.0;79.0;  -   ;74.0;1.489;4.884;norte;março;2017
Pará ;1.848.524;553.356;  -   ;59.048;7.537;133.001;37.138;94;5.505;6.605;802.840;175.972;17.56;1;21.448;14.116;163.0;156.0;  -   ;119.0;1.441;12.424;norte;março;2017
Rondônia ;913.554;258.016;  -   ;30.096;6.16;84.191;11.544;8;2.351;1.205;372.931;113.507;5.767;  -   ;12.914;11.262;40.0;41.0;1;43.0;312.0;3.165;norte;março;2017
Roraima;203.136;67.445;  -   ;4.688;663.0;23.960;4.669;  -   ;968.0;649.0;76.139;19.357;1.026;  -   ;1.176;1.165;4.0;14.0;  -   ;2.0;68.0;1.143;norte;março;2017
Tocantins;643.071;195.916;  -   ;22.197;4.627;59.741;10.047;2;1.877;1.609;220.150;89.851;5.237;  -   ;21.841;6.587;112.0;39.0;  -   ;32.0;118.0;3.088;norte;março;2017
Alagoas;763.587;329.021;  -   ;20.677;2.29;50.222;19.671;27;566.0;6.248;262.471;37.129;7.2;1;15.486;6.975;49.0;46.0;  -   ;17.0;224.0;5.267;nordeste;março;2017
Bahia;3.839.591;1.700.505;3;115.455;20.019;324.821;105.865;189;8.33;27.738;1.216.913;176.745;38.449;1;43.496;32.326;667.0;205.0;3;252.0;2.17;25.439;nordeste;março;2017
Ceará;2.935.838;1.065.717;  -   ;70.92;7.995;179.278;56.827;115;5.579;11.638;1.293.317;152.419;16.75;  -   ;33.172;11.693;333.0;128.0;  -   ;248.0;1.41;28.299;nordeste;março;2017
Maranhão ;1.561.533;402.121;  -   ;39.185;4.187;107.625;22.131;78;10.276;4.675;792.195;144.941;8.559;  -   ;9.785;6.559;38.0;52.0;  -   ;63.0;377.0;8.686;nordeste;março;2017
Paraíba ;1.197.839;488.766;  -   ;28.581;2.643;75.875;25.833;17;26.567;4.582;454.300;62.974;7.134;1;6.878;4.435;28.0;53.0;  -   ;44.0;375.0;8.753;nordeste;março;2017
Pernambuco ;2.828.664;1.243.188;  -   ;91.456;11.444;170.674;86.174;89;36.537;18.184;979.414;100.21;19.054;1;33.994;18.919;142.0;104.0;  -   ;316.0;1.314;17.45;nordeste;março;2017
Piauí;1.097.907;326.712;  -   ;27.656;2.395;79.606;16.179;33;6.494;3.47;520.405;92.111;6.581;  -   ;5.218;3.69;201.0;48.0;  -   ;75.0;1.05;5.983;nordeste;março;2017
Rio Grande do Norte ;1.196.345;515.334;  -   ;31.792;3.118;79.824;27.166;19;24.789;4.939;411.576;57.283;6.6;1;12.486;6.627;57.0;47.0;  -   ;131.0;513.0;14.043;nordeste;março;2017
Sergipe;717.914;310.032;  -   ;20.845;2.395;39.636;14.407;21;21.497;3.401;234.109;40.279;6.7;  -   ;16.723;3.216;42.0;68.0;1;132.0;403.0;4.007;nordeste;março;2017
Espírito Santo;1.824.309;906.182;  -   ;71.081;17.067;154.888;54.170;14;1.458;7.901;424.241;100.364;14.552;2;27.511;24.428;132.0;234.0;17;2.148;1.523;16.396;sudeste;março;2017
Minas Gerais ;10.357.544;5.690.917;  -   ;324.686;65.26;833.486;293.893;24;46.659;44.891;2.396.767;271.008;73.766;9;166.928;79.75;1.418;1.277;47;2.094;4.941;59.723;sudeste;março;2017
Rio de Janeiro;6.416.616;4.327.164;  -   ;143.652;16.241;327.328;284.960;60;38.786;38.476;897.523;158.442;46.642;9;58.307;20.59;204.0;489.0;1;686.0;2.086;54.97;sudeste;março;2017
São Paulo ;27.520.242;17.356.123;25;669.777;163.413;1.841.121;1.117.716;625;53.876;118.522;4.407.309;837.116;155.19;58;311.659;237.65;1.913;2.113;58;10.733;4.58;230.665;sudeste;março;2017
Paraná;7.183.644;4.226.183;3;265.282;86.642;614.664;222.141;79;7.929;21.795;1.107.536;280.18;41.428;23;124.538;129.659;596.0;966.0;13;1.899;1.894;50.194;sul;março;2017
Rio Grande do Sul ;6.692.843;4.095.000;3;223.603;55.732;488.338;237.795;153;5.387;20.463;1.044.562;182.182;40.12;39;164.744;71.55;425.0;4.264;38;7.694;1.016;49.735;sul;março;2017
Santa Catarina;4.808.746;2.753.005;  -   ;148.745;48.665;357.940;159.357;42;1.747;11.736;837.943;261.46;18.97;13;88.404;66.594;683.0;2.057;13;3.033;674.0;47.665;sul;março;2017
Distrito Federal;1.712.706;1.222.886;  -   ;23.543;3.181;117.830;78.767;20;1.205;5.537;178.145;17.928;12.207;1;21.61;4.016;711.0;181.0;7;595.0;553.0;23.783;centro-oeste;março;2017
Goiás;3.684.308;1.741.289;  -   ;108.89;28.504;330.774;90.291;59;25.947;9.339;838.379;262.241;22.224;  -   ;157.017;45.929;140.0;243.0;3;244.0;957.0;21.838;centro-oeste;março;2017
Mato Grosso;1.899.790;657.272;  -   ;68.305;29.761;198.733;37.879;3;7.426;3.434;582.505;204.958;11.198;2;31.318;52.675;136.0;126.0;2;99.0;879.0;13.079;centro-oeste;março;2017
Mato Grosso do Sul;1.472.360;683.162;10;50.087;15.556;147.156;36.690;35;3.435;3.657;351.615;104.092;9.18;1;29.79;25.989;173.0;175.0;4;213.0;488.0;10.852;centro-oeste;março;2017
Acre ;255.140;81.261;  -   ;6.989;809.0;24.503;4.069;10;520.0;354.0;107.415;22.629;1.074;  -   ;2.81;1.282;60.0;22.0;  -   ;2.0;167.0;1.164;norte;abril;2017
Amapá ;181.505;74.918;  -   ;4.026;310.0;20.037;4.244;14;941.0;462.0;60.315;11.67;1.189;  -   ;1.138;983.0;50.0;15.0;  -   ;7.0;323.0;863.0;norte;abril;2017
Amazonas;827.067;369.392;  -   ;19.888;3.006;82.346;27.028;37;1.937;3.499;236.518;52.73;8.801;  -   ;2.788;12.562;7.0;79.0;  -   ;74.0;1.491;4.884;norte;abril;2017
Pará ;1.855.006;555.047;  -   ;59.184;7.579;133.639;37.171;94;5.526;6.615;805.841;176.619;17.61;1;21.541;14.173;163.0;164.0;  -   ;119.0;1.45;12.47;norte;abril;2017
Rondônia ;916.344;258.767;  -   ;30.138;6.202;84.574;11.599;8;2.387;1.207;373.864;113.869;5.793;  -   ;12.993;11.299;40.0;42.0;1;44.0;312.0;3.205;norte;abril;2017
Roraima;203.705;67.660;  -   ;4.694;665.0;24.058;4.680;  -   ;972.0;650.0;76.288;19.414;1.029;  -   ;1.184;1.172;4.0;14.0;  -   ;2.0;68.0;1.151;norte;abril;2017
Tocantins;644.750;196.508;  -   ;22.184;4.641;59.916;10.077;2;1.878;1.615;220.652;90.06;5.249;  -   ;21.952;6.599;112.0;39.0;  -   ;32.0;119.0;3.115;norte;abril;2017
Alagoas;766.195;329.943;  -   ;20.706;2.294;50.379;19.756;26;571.0;6.264;263.584;37.245;7.211;1;15.562;7.016;49.0;46.0;  -   ;17.0;224.0;5.301;nordeste;abril;2017
Bahia;3.851.859;1.705.501;3;115.581;20.049;326.074;106.424;189;9.096;27.867;1.220.149;177.292;38.542;1;43.762;32.398;667.0;208.0;3;252.0;2.179;25.622;nordeste;abril;2017
Ceará;2.943.447;1.068.493;  -   ;71.019;8.003;179.755;57.182;115;5.807;11.687;1.296.047;152.903;16.83;  -   ;33.284;11.743;333.0;129.0;  -   ;248.0;1.412;28.457;nordeste;abril;2017
Maranhão ;1.566.111;403.014;  -   ;39.265;4.204;107.956;22.199;78;10.288;4.681;794.733;145.435;8.578;  -   ;9.848;6.578;38.0;54.0;  -   ;63.0;381.0;8.718;nordeste;abril;2017
Paraíba ;1.201.304;490.020;  -   ;28.574;2.633;76.081;25.927;17;26.813;4.582;455.677;63.156;7.161;1;6.919;4.446;28.0;52.0;  -   ;44.0;376.0;8.797;nordeste;abril;2017
Pernambuco ;2.839.687;1.247.539;  -   ;91.636;11.494;171.400;86.521;89;36.673;18.26;983.551;100.739;19.068;1;34.255;18.954;142.0;108.0;  -   ;316.0;1.315;17.626;nordeste;abril;2017
Piauí;1.101.783;327.926;  -   ;27.768;2.409;80.010;16.256;33;6.505;3.509;521.938;92.393;6.635;  -   ;5.267;3.704;201.0;48.0;  -   ;75.0;1.051;6.055;nordeste;abril;2017
Rio Grande do Norte ;1.200.115;516.912;  -   ;31.881;3.138;80.036;27.259;19;24.948;4.948;412.798;57.442;6.606;1;12.552;6.679;57.0;50.0;  -   ;131.0;516.0;14.142;nordeste;abril;2017
Sergipe;720.032;310.767;  -   ;20.833;2.4;39.703;14.458;21;21.701;3.395;234.903;40.412;6.707;  -   ;16.817;3.232;42.0;68.0;1;132.0;408.0;4.032;nordeste;abril;2017
Espírito Santo;1.828.120;908.026;  -   ;71.177;17.034;155.374;54.267;14;1.459;7.913;425.073;100.627;14.505;2;27.64;24.431;132.0;234.0;17;2.147;1.521;16.527;sudeste;abril;2017
Minas Gerais ;10.386.530;5.706.230;  -   ;325.046;65.402;836.467;295.379;24;46.885;45.002;2.402.131;271.846;74.004;9;167.927;80.034;1.418;1.272;47;2.097;4.966;60.344;sudeste;abril;2017
Rio de Janeiro;6.429.098;4.334.579;  -   ;143.683;16.26;327.962;285.666;60;39.106;38.422;899.831;158.921;46.6;9;58.73;20.631;204.0;493.0;1;687.0;2.093;55.16;sudeste;abril;2017
São Paulo ;27.579.730;17.391.277;25;669.897;163.681;1.845.584;1.121.543;625;53.997;118.516;4.416.308;839.83;155.209;74;313.124;237.974;1.913;2.113;58;10.739;4.598;232.645;sudeste;abril;2017
Paraná;7.197.075;4.233.306;3;265.537;86.695;616.115;222.924;78;7.944;21.778;1.109.594;280.77;41.452;25;125.116;129.732;596.0;973.0;13;1.901;1.899;50.624;sul;abril;2017
Rio Grande do Sul ;6.706.725;4.102.912;3;223.867;55.832;490.017;238.848;151;5.411;20.495;1.045.888;182.46;40.128;39;165.335;71.682;425.0;4.27;38;7.707;1.019;50.198;sul;abril;2017
Santa Catarina;4.820.508;2.759.226;  -   ;148.867;48.732;359.327;160.425;41;1.753;11.756;839.264;261.799;18.985;13;89.059;66.564;683.0;2.079;13;3.031;676.0;48.215;sul;abril;2017
Distrito Federal;1.714.963;1.224.371;  -   ;23.524;3.173;117.923;79.038;20;1.205;5.564;178.341;17.94;12.205;1;21.675;4.008;711.0;183.0;7;595.0;554.0;23.925;centro-oeste;abril;2017
Goiás;3.693.095;1.745.362;  -   ;108.949;28.59;331.576;90.698;58;26.01;9.352;840.063;262.98;22.261;  -   ;157.655;45.957;140.0;243.0;3;244.0;959.0;21.995;centro-oeste;abril;2017
Mato Grosso;1.905.946;659.409;  -   ;68.468;29.86;199.453;38.094;3;7.44;3.445;583.933;205.724;11.222;2;31.534;52.919;136.0;125.0;2;101.0;884.0;13.192;centro-oeste;abril;2017
Mato Grosso do Sul;1.476.800;685.154;10;50.216;15.638;147.684;36.863;35;3.457;3.668;352.267;104.351;9.256;1;29.979;26.147;173.0;176.0;4;214.0;491.0;11.016;centro-oeste;abril;2017
Acre ;256.330;81.539;  -   ;6.989;810.0;24.658;4.080;10;529.0;354.0;107.941;22.778;1.097;  -   ;2.837;1.284;60.0;22.0;  -   ;2.0;167.0;1.173;norte;maio;2017
Amapá ;182.116;75.108;  -   ;4.018;313.0;20.116;4.261;14;941.0;463.0;60.554;11.727;1.185;  -   ;1.148;997.0;50.0;15.0;  -   ;7.0;326.0;873.0;norte;maio;2017
Amazonas;829.252;370.155;  -   ;19.877;3.013;82.598;27.023;37;1.948;3.494;237.492;52.895;8.789;  -   ;2.807;12.562;7.0;80.0;  -   ;75.0;1.496;4.904;norte;maio;2017
